[2024-10-18T16:00:43.163+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction scheduled__2024-10-17T00:00:00+00:00 [queued]>
[2024-10-18T16:00:43.172+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_steam_pipeline.steam_extraction scheduled__2024-10-17T00:00:00+00:00 [queued]>
[2024-10-18T16:00:43.173+0000] {taskinstance.py:1359} INFO - Starting attempt 4 of 4
[2024-10-18T16:00:45.985+0000] {logging_mixin.py:151} INFO - Processed 1696810 Already! Sorry Try another
[2024-10-18T16:00:45.985+0000] {logging_mixin.py:151} INFO - Processed 2666580 Already! Sorry Try another
[2024-10-18T16:00:45.986+0000] {logging_mixin.py:151} INFO - Processed 3190930 Already! Sorry Try another
[2024-10-18T16:00:45.986+0000] {logging_mixin.py:151} INFO - Processed 714010 Already! Sorry Try another
[2024-10-18T16:00:45.987+0000] {logging_mixin.py:151} INFO - Processed 2407830 Already! Sorry Try another
[2024-10-18T16:00:45.987+0000] {logging_mixin.py:151} INFO - Processed 3173890 Already! Sorry Try another
[2024-10-18T16:00:45.988+0000] {logging_mixin.py:151} INFO - Processed 3204560 Already! Sorry Try another
[2024-10-18T16:00:45.988+0000] {logging_mixin.py:151} INFO - Processed 1845940 Already! Sorry Try another
[2024-10-18T16:00:45.989+0000] {logging_mixin.py:151} INFO - Processed 2169200 Already! Sorry Try another
[2024-10-18T16:00:45.989+0000] {logging_mixin.py:151} INFO - Processed 2315070 Already! Sorry Try another
[2024-10-18T16:00:45.990+0000] {logging_mixin.py:151} INFO - Processed 2624670 Already! Sorry Try another
[2024-10-18T16:00:45.990+0000] {logging_mixin.py:151} INFO - Processed 2875110 Already! Sorry Try another
[2024-10-18T16:00:45.991+0000] {logging_mixin.py:151} INFO - Processed 2485550 Already! Sorry Try another
[2024-10-18T16:00:45.991+0000] {logging_mixin.py:151} INFO - Processed 2678080 Already! Sorry Try another
[2024-10-18T16:00:45.992+0000] {logging_mixin.py:151} INFO - Processed 2730540 Already! Sorry Try another
[2024-10-18T16:00:45.992+0000] {logging_mixin.py:151} INFO - Processed 2678640 Already! Sorry Try another
[2024-10-18T16:00:45.993+0000] {logging_mixin.py:151} INFO - Processed 3254100 Already! Sorry Try another
[2024-10-18T16:00:45.993+0000] {logging_mixin.py:151} INFO - Processed 3248450 Already! Sorry Try another
[2024-10-18T16:00:45.994+0000] {logging_mixin.py:151} INFO - Processed 1702010 Already! Sorry Try another
[2024-10-18T16:00:45.994+0000] {logging_mixin.py:151} INFO - Processed 2863340 Already! Sorry Try another
[2024-10-18T16:00:45.995+0000] {logging_mixin.py:151} INFO - Processed 2367610 Already! Sorry Try another
[2024-10-18T16:00:45.995+0000] {logging_mixin.py:151} INFO - Processed 2605790 Already! Sorry Try another
[2024-10-18T16:00:45.996+0000] {logging_mixin.py:151} INFO - Processed 3234420 Already! Sorry Try another
[2024-10-18T16:00:45.996+0000] {logging_mixin.py:151} INFO - Processed 2386720 Already! Sorry Try another
[2024-10-18T16:00:45.997+0000] {logging_mixin.py:151} INFO - Processed 238430 Already! Sorry Try another
[2024-10-18T16:00:45.997+0000] {logging_mixin.py:151} INFO - Processed 407530 Already! Sorry Try another
[2024-10-18T16:00:45.998+0000] {logging_mixin.py:151} INFO - Processed 2510960 Already! Sorry Try another
[2024-10-18T16:00:45.998+0000] {logging_mixin.py:151} INFO - Processed 2819550 Already! Sorry Try another
[2024-10-18T16:00:45.999+0000] {logging_mixin.py:151} INFO - Processed 3101950 Already! Sorry Try another
[2024-10-18T16:00:45.999+0000] {logging_mixin.py:151} INFO - Processed 1371980 Already! Sorry Try another
[2024-10-18T16:00:46.000+0000] {logging_mixin.py:151} INFO - Processed 3020620 Already! Sorry Try another
[2024-10-18T16:00:46.000+0000] {logging_mixin.py:151} INFO - Processed 1452250 Already! Sorry Try another
[2024-10-18T16:00:46.001+0000] {logging_mixin.py:151} INFO - Processed 2710980 Already! Sorry Try another
[2024-10-18T16:00:46.001+0000] {logging_mixin.py:151} INFO - Processed 3249720 Already! Sorry Try another
[2024-10-18T16:00:46.002+0000] {logging_mixin.py:151} INFO - Processed 2524700 Already! Sorry Try another
[2024-10-18T16:00:46.002+0000] {logging_mixin.py:151} INFO - Processed 2796980 Already! Sorry Try another
[2024-10-18T16:00:46.003+0000] {logging_mixin.py:151} INFO - Processed 2192020 Already! Sorry Try another
[2024-10-18T16:00:46.003+0000] {logging_mixin.py:151} INFO - Processed 512900 Already! Sorry Try another
[2024-10-18T16:00:46.004+0000] {logging_mixin.py:151} INFO - Processed 3268100 Already! Sorry Try another
[2024-10-18T16:00:46.004+0000] {logging_mixin.py:151} INFO - Processed 2686820 Already! Sorry Try another
[2024-10-18T16:00:46.005+0000] {logging_mixin.py:151} INFO - Processed 1154670 Already! Sorry Try another
[2024-10-18T16:00:46.005+0000] {logging_mixin.py:151} INFO - Processed 3071520 Already! Sorry Try another
[2024-10-18T16:00:46.006+0000] {logging_mixin.py:151} INFO - Processed 2725560 Already! Sorry Try another
[2024-10-18T16:00:46.006+0000] {logging_mixin.py:151} INFO - Processed 3261860 Already! Sorry Try another
[2024-10-18T16:00:46.007+0000] {logging_mixin.py:151} INFO - Processed 3057460 Already! Sorry Try another
[2024-10-18T16:00:46.007+0000] {logging_mixin.py:151} INFO - Processed 3199180 Already! Sorry Try another
[2024-10-18T16:00:46.007+0000] {logging_mixin.py:151} INFO - Processed 1359270 Already! Sorry Try another
[2024-10-18T16:00:46.008+0000] {logging_mixin.py:151} INFO - Fetching details for app ID: 285049...
[2024-10-18T16:00:46.346+0000] {logging_mixin.py:151} INFO - Failed to get details for app ID: 285049
[2024-10-18T16:00:46.348+0000] {taskinstance.py:1935} ERROR - Task failed with exception
Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.9/site-packages/airflow/operators/python.py", line 192, in execute
    return_value = self.execute_callable()
  File "/home/airflow/.local/lib/python3.9/site-packages/airflow/operators/python.py", line 209, in execute_callable
    return self.python_callable(*self.op_args, **self.op_kwargs)
  File "/opt/airflow/pipelines/steam_pipeline.py", line 21, in steam_pipeline
    transform_data = transform_data(games_df)
UnboundLocalError: local variable 'transform_data' referenced before assignment
[2024-10-18T16:00:46.361+0000] {taskinstance.py:1398} INFO - Marking task as FAILED. dag_id=etl_steam_pipeline, task_id=steam_extraction, execution_date=20241017T000000, start_date=20241018T160043, end_date=20241018T160046
[2024-10-18T16:00:46.379+0000] {standard_task_runner.py:104} ERROR - Failed to execute job 10 for task steam_extraction (local variable 'transform_data' referenced before assignment; 65)
[2024-10-18T16:00:46.411+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 1
[2024-10-18T16:00:46.434+0000] {taskinstance.py:2776} INFO - 0 downstream tasks scheduled from follow-on schedule check
